# sky130 pfet_01v8 gm/ID Processed Lookup Table
# Corner: ss
# Temperature: 85C
# W = 2.0 um
# L = 2 um (2000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    1.775084e+00    3.198650e+00    8.201670e+00    1.940771e+08    1.193898e-08    1.229651e-09    1.071521e-08    1.294444e-09   -1.800000e+00    9.481861e-01    7.158402e-01
    1.810539e+00    3.372106e+00    8.056085e+00    1.951697e+08    1.189432e-08    1.166604e-09    1.072016e-08    1.285466e-09   -1.790000e+00    9.481861e-01    7.079974e-01
    1.847073e+00    3.561938e+00    7.909965e+00    1.962215e+08    1.185038e-08    1.105257e-09    1.072418e-08    1.276638e-09   -1.780000e+00    9.481861e-01    7.001573e-01
    1.884604e+00    3.770175e+00    7.763750e+00    1.972264e+08    1.180720e-08    1.045719e-09    1.072724e-08    1.267975e-09   -1.770000e+00    9.481861e-01    6.923198e-01
    1.923173e+00    3.999125e+00    7.617345e+00    1.981780e+08    1.176485e-08    9.880890e-10    1.072934e-08    1.259489e-09   -1.760000e+00    9.481861e-01    6.844848e-01
    1.962786e+00    4.251400e+00    7.470775e+00    1.990694e+08    1.172342e-08    9.324505e-10    1.073044e-08    1.251191e-09   -1.750000e+00    9.481861e-01    6.766523e-01
    2.003441e+00    4.529958e+00    7.324085e+00    1.998934e+08    1.168293e-08    8.788735e-10    1.073055e-08    1.243091e-09   -1.740000e+00    9.481861e-01    6.688221e-01
    2.045131e+00    4.838129e+00    7.177325e+00    2.006427e+08    1.164342e-08    8.274115e-10    1.072964e-08    1.235198e-09   -1.730000e+00    9.481861e-01    6.609942e-01
    2.087845e+00    5.179648e+00    7.030530e+00    2.013091e+08    1.160494e-08    7.781035e-10    1.072774e-08    1.227519e-09   -1.720000e+00    9.481861e-01    6.531684e-01
    2.131559e+00    5.558694e+00    6.883770e+00    2.018853e+08    1.156750e-08    7.309730e-10    1.072482e-08    1.220060e-09   -1.710000e+00    9.481861e-01    6.453447e-01
    2.176251e+00    5.979889e+00    6.737090e+00    2.023627e+08    1.153111e-08    6.860295e-10    1.072091e-08    1.212825e-09   -1.700000e+00    9.481861e-01    6.375229e-01
    2.221889e+00    6.448340e+00    6.590560e+00    2.027339e+08    1.149578e-08    6.432675e-10    1.071601e-08    1.205815e-09   -1.690000e+00    9.481861e-01    6.297031e-01
    2.268436e+00    6.969617e+00    6.444245e+00    2.029913e+08    1.146149e-08    6.026680e-10    1.071014e-08    1.199033e-09   -1.680000e+00    9.481861e-01    6.218850e-01
    2.315859e+00    7.549753e+00    6.298215e+00    2.031281e+08    1.142825e-08    5.642015e-10    1.070329e-08    1.192477e-09   -1.670000e+00    9.481861e-01    6.140686e-01
    2.364117e+00    8.195218e+00    6.152555e+00    2.031383e+08    1.139601e-08    5.278260e-10    1.069551e-08    1.186146e-09   -1.660000e+00    9.481861e-01    6.062539e-01
    2.413177e+00    8.912862e+00    6.007335e+00    2.030166e+08    1.136474e-08    4.934908e-10    1.068679e-08    1.180036e-09   -1.650000e+00    9.481861e-01    5.984407e-01
    2.463009e+00    9.709869e+00    5.862645e+00    2.027590e+08    1.133443e-08    4.611367e-10    1.067716e-08    1.174143e-09   -1.640000e+00    9.481861e-01    5.906289e-01
    2.513588e+00    1.059368e+01    5.718570e+00    2.023630e+08    1.130500e-08    4.306979e-10    1.066664e-08    1.168460e-09   -1.630000e+00    9.481861e-01    5.828185e-01
    2.564904e+00    1.157190e+01    5.575195e+00    2.018272e+08    1.127643e-08    4.021030e-10    1.065523e-08    1.162983e-09   -1.620000e+00    9.481861e-01    5.750094e-01
    2.616959e+00    1.265222e+01    5.432600e+00    2.011520e+08    1.124865e-08    3.752767e-10    1.064295e-08    1.157702e-09   -1.610000e+00    9.481861e-01    5.672016e-01
    2.669758e+00    1.384229e+01    5.290885e+00    2.003388e+08    1.122161e-08    3.501405e-10    1.062982e-08    1.152609e-09   -1.600000e+00    9.481861e-01    5.593948e-01
    2.723333e+00    1.514969e+01    5.150120e+00    1.993905e+08    1.119525e-08    3.266143e-10    1.061585e-08    1.147695e-09   -1.590000e+00    9.481861e-01    5.515892e-01
    2.777718e+00    1.658182e+01    5.010400e+00    1.983109e+08    1.116951e-08    3.046170e-10    1.060104e-08    1.142953e-09   -1.580000e+00    9.481861e-01    5.437845e-01
    2.832969e+00    1.814583e+01    4.871798e+00    1.971049e+08    1.114432e-08    2.840677e-10    1.058541e-08    1.138370e-09   -1.570000e+00    9.481861e-01    5.359808e-01
    2.889150e+00    1.984864e+01    4.734393e+00    1.957781e+08    1.111963e-08    2.648862e-10    1.056895e-08    1.133937e-09   -1.560000e+00    9.481861e-01    5.281780e-01
    2.946339e+00    2.169684e+01    4.598255e+00    1.943365e+08    1.109536e-08    2.469938e-10    1.055167e-08    1.129643e-09   -1.550000e+00    9.481861e-01    5.203760e-01
    3.004620e+00    2.369673e+01    4.463455e+00    1.927864e+08    1.107145e-08    2.303138e-10    1.053358e-08    1.125479e-09   -1.540000e+00    9.481861e-01    5.125748e-01
    3.064091e+00    2.585442e+01    4.330056e+00    1.911341e+08    1.104783e-08    2.147718e-10    1.051466e-08    1.121432e-09   -1.530000e+00    9.481861e-01    5.047744e-01
    3.124856e+00    2.817570e+01    4.198120e+00    1.893862e+08    1.102444e-08    2.002963e-10    1.049490e-08    1.117494e-09   -1.520000e+00    9.481861e-01    4.969746e-01
